"id","user_id","order_number","delivery_type","full_name","phone","address","comment","total_amount","payment_method","payment_status","order_status","created_at","updated_at"
"1","1","AURUM-2026-0001","pickup","Иванов Иван Иванович","89001234567","г Краснодар, ул Московская, д 25",NULL,"299990.00","card","pending","delivered","2026-01-13 14:23:48","2026-01-13 15:30:48"
"2","1","AURUM-2026-0002","delivery","Иванов Иван Иванович","89001234567","Краснодар, ул. Красная 100",NULL,"369990.00","cash","pending","new","2026-01-13 14:25:17","2026-01-13 14:25:17"
"3","1","AURUM-2026-0003","pickup","Иванов Иван Иванович","89001234567","г Краснодар, ул Московская, д 25",NULL,"139990.00","card","pending","new","2026-01-13 14:30:34","2026-01-13 14:30:34"
"4","1","AURUM-2026-0004","delivery","Иванов Иван Иванович","89001234567","Краснодар, ул. Красная 100","Спасибо!","239990.00","cash","pending","new","2026-01-13 15:17:14","2026-01-13 15:17:14"
"5","1","AURUM-2026-0005","pickup","Иванов Иван Иванович","89001234567","г Краснодар, ул Московская, д 25",NULL,"649980.00","card","pending","new","2026-01-13 17:07:22","2026-01-13 17:07:22"
"6","1","AURUM-2026-0006","pickup","Иванов Иван Иванович","89001234567","г Краснодар, ул Московская, д 25",NULL,"349990.00","card","pending","new","2026-01-14 16:25:55","2026-01-14 16:25:55"
"7","1","AURUM-2026-0007","delivery","Иванов Иван Иванович","89001234567","Краснодар, ул. Красная 100",NULL,"199990.00","card","pending","new","2026-01-14 16:36:50","2026-01-14 16:36:50"
"8","1","AURUM-2026-0008","pickup","Иванов Иван Иванович","89001234567","г Краснодар, ул Московская, д 25",NULL,"349990.00","card","pending","new","2026-01-14 17:04:34","2026-01-14 17:04:34"
"9","1","AURUM-2026-0009","pickup","Иванов Иван Иванович","89001234567","г Краснодар, ул Московская, д 25","Спасибо","239990.00","cash","pending","new","2026-01-14 17:13:26","2026-01-14 17:13:26"
"10","1","AURUM-2026-0010","pickup","Иванов Иван Иванович","89001234567","г Краснодар, ул Московская, д 25",NULL,"139990.00","card","pending","new","2026-01-21 20:25:26","2026-01-21 20:25:26"
"11","1","AURUM-2026-0011","pickup","Иванов Иван Иванович","89001234567","г Краснодар, ул Московская, д 25",NULL,"139990.00","cash","pending","new","2026-01-21 20:32:13","2026-01-21 20:32:13"
